subject;AQ;group;session;daysInBetween;pictureCondition;cancel;ACC;RT1;RTTot;delta_ACC;delta_RT1;delta_RTTot;roi_efield;P99_efield;perc_overlap;volume_roi;volume_P99;volume_overlap
4;11;1;1;7;2;0;0;26727;48185;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;2;0;2;22003;28732;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;5;0;6;31924;43822;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;5;0;6;14754;26283;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;1;0;0;20850;28049;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;5;0;4;26223;44222;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;1;0;6;20447;30548;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;3;1;6;20987;25308;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;2;0;3;13516;22219;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;1;0;6;23159;38010;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;2;0;6;16073;32595;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;3;1;6;15102;43369;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;3;0;6;13442;18955;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;1;0;6;14741;20920;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
